Type,Investor,Stock,Holding_Value_in_Cr,Quantity,Dec_2023,Sep_2023,Jun_2023,Mar_2023,Dec_2022,Sep_2022,Jun_2022,Mar_2022,Dec_2021
Individual Investor,Mukul_Agrawal,Prakash_Industries_Ltd,37.4,2500000,0.014,0.014,0,0,0,0,0,0,0
Individual Investor,Mukul_Agrawal,Radico_Khaitan_Ltd,217.5,1400083,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
Individual Investor,Mukul_Agrawal,Raymond_Ltd,171.4,1000000,0.015,0.015,0.017,0.018,0.018,0.017,0.017,0.015,0
Individual Investor,Mukul_Agrawal,Repro_India_Ltd,,0,0,0,0,0,0,0,0,0.031,0.048
Individual Investor,Mukul_Agrawal,Sarda_Energy_and_Minerals_Ltd,82.4,4176000,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.011,0
Individual Investor,Mukul_Agrawal,JTEKT_India_Ltd,47.5,3166545,0.013,0.016,0.016,0.016,0.016,0.015,0.013,0.013,0.013
Individual Investor,Mukul_Agrawal,Strides_Pharma_Science_Ltd,109.2,1400000,0.015,0,0,0,0,0,0,0,0
Individual Investor,Mukul_Agrawal,Surya_Roshni_Ltd,76,1500000,0.014,0.015,0.018,0.02,0.017,0.013,0,0,0
Individual Investor,Mukul_Agrawal,Suzlon_Energy_Ltd,,0,0,0,0.01,0,0,0,0,0,0
Individual Investor,Mukul_Agrawal,Thomas_Cook_(India)_Ltd,73.8,5000060,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.013
Individual Investor,Mukul_Agrawal,Vardhman_Special_Steels_Ltd,,0,0,0,0.012,0.012,0.012,0.012,0.012,0.013,0.013
Individual Investor,Mukul_Agrawal,Intellect_Design_Arena_Ltd,259.4,2300000,0.017,0.017,0.018,0.018,0.018,0,0.017,0.017,0.017
Individual Investor,Mukul_Agrawal,PDS_Ltd,163.2,3482100,0.026,0.027,0.027,0.027,0.027,0.027,0.027,0.028,0.028
Individual Investor,Mukul_Agrawal,Zen_Technologies_Ltd,101.2,1126765,0.013,0.013,0.013,0,0,0,0,0,0
Individual Investor,Mukul_Agrawal,Vidhi_Specialty_Food_Ingredients_Ltd,39.6,900000,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
Individual Investor,Mukul_Agrawal,KDDL_Ltd,101.3,423180,0.034,0.034,0.034,0.034,0.033,0.033,0.033,0.034,0.035
Individual Investor,Mukul_Agrawal,Parag_Milk_Foods_Ltd,,0,0,0,0,0,0.017,0.018,0.021,0.021,0.021
Individual Investor,Mukul_Agrawal,Ion_Exchange_(India)_Ltd,65.7,1500000,0.01,0.012,0.018,0.019,0.019,0.019,0.019,0.019,0.019
Individual Investor,Mukul_Agrawal,Pix_Transmissions_Ltd,43.4,338000,0.025,0.026,0.026,0.026,0.026,0.026,0.027,0,0
Individual Investor,Mukul_Agrawal,Transpek_Industry_Ltd,21.1,118578,0.021,0,0,0,0,0,0,0,0
Individual Investor,Mukul_Agrawal,Tasty_Bite_Eatables_Ltd,37.5,30130,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
Individual Investor,Mukul_Agrawal,Stylam_Industries_Ltd,,0,0,0,0,0,0.012,0,0,0,0
Individual Investor,Mukul_Agrawal,Arman_Financial_Services_Ltd,74.6,400000,0.041,0.046,0.047,0.047,0.047,0.047,0.048,0.051,0.051
Individual Investor,Mukul_Agrawal,Bhagiradha_Chemicals_and_Industries_Ltd,,0,0,0.029,0.034,0.038,0.038,0,0,0,0
Individual Investor,Mukul_Agrawal,Apollo_Pipes_Ltd,98.1,1500000,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038
Individual Investor,Mukul_Agrawal,Sahyadri_Industries_Ltd,9.3,256725,0.024,0.024,0.024,0.022,0.022,0.022,0.022,0.025,0.024
Individual Investor,Mukul_Agrawal,Dhabriya_Polywood_Ltd,11.5,416500,0.039,0.047,0.105,0.105,0.105,0.105,0.105,0.105,0.105
Individual Investor,Mukul_Agrawal,PTC_Industries_Ltd,,0,0,0,0,0,0,0.01,0,0,0
Individual Investor,Mukul_Agrawal,SG_Finserve_Ltd,,0,0,0,0.024,0.024,0.024,0.021,0,0,0
Individual Investor,Mukul_Agrawal,Raghav_Productivity_Enhancers_Ltd,21.1,356148,0.016,0.016,0.016,0.016,0.016,0,0,0,0
Individual Investor,Mukul_Agrawal,TAAL_Enterprises_Ltd,73.6,277931,0.089,0.089,0.089,0.089,0,0,0.089,0.089,0.089
Individual Investor,Mukul_Agrawal,BSE_Ltd,404.8,2000000,0.015,0.015,0,0,0,0,0,0,0
Individual Investor,Mukul_Agrawal,Shankara_Building_Products_Ltd,35.5,550000,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0
Individual Investor,Mukul_Agrawal,CL_Educate_Ltd,,0,0,0,0,0.011,0.012,0.012,0.011,0,0
Individual Investor,Mukul_Agrawal,Capacit'e_Infraprojects_Ltd,149,6000000,0.078,0.08,0.043,0.019,0,0,0,0,0
Individual Investor,Mukul_Agrawal,Dishman_Carbogen_Amcis_Ltd,183.3,8200000,0.052,0.052,0.052,0.043,0.035,0.033,0.033,0.033,0.032
Individual Investor,Mukul_Agrawal,Newgen_Software_Technologies_Ltd,,0,0,0,0.011,0.014,0.016,0.016,0.016,0.016,0.016
Individual Investor,Mukul_Agrawal,Zota_Healthcare_Ltd,83.4,1766989,0.068,0.068,0.052,0.052,0.052,0.049,0.049,0.049,0.049
Individual Investor,Mukul_Agrawal,Thejo_Engineering_Ltd,40.1,180000,0.017,0.017,0,0.017,0,0,0,0.017,0
Individual Investor,Mukul_Agrawal,InfoBeans_Technologies_Ltd,46.9,1225000,0.05,0.051,0.052,0.052,0.052,0.052,0.052,0.052,0.052
Individual Investor,Mukul_Agrawal,MITCON_Consultancy_and_Engineering_Services_Ltd,4.4,387282,0.029,0.031,0.043,0.044,0.05,0,0.056,0.056,0.056
Individual Investor,Mukul_Agrawal,Jet_Freight_Logistics_Ltd,,0,0,0,0,0,0,0.025,0.041,0.041,0.057
Individual Investor,Mukul_Agrawal,Sirca_Paints_India_Ltd,48.5,1600000,0.029,0.03,0.03,0.03,0.031,0.031,0.031,0.031,0.031
Individual Investor,Mukul_Agrawal,Prakash_Pipes_Ltd,21.4,600000,0.025,0,0,0,0,0,0,0,0
Individual Investor,Mukul_Agrawal,Gensol_Engineering_Ltd,45.6,570000,0.015,0.016,0,0,0,0,0,0,0
Individual Investor,Mukul_Agrawal,Hindware_Home_Innovation_Ltd,29.7,800000,0.011,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
Individual Investor,Mukul_Agrawal,MTAR_Technologies_Ltd,,0,0,0,0,0,0,0.011,0.011,0.011,0.013
Individual Investor,Mukul_Agrawal,Suryoday_Small_Finance_Bank_Ltd,49.4,3000000,0.028,0.028,0.028,0.019,0.019,0,0,0,0
Individual Investor,Mukul_Agrawal,EKI_Energy_Services_Ltd,,0,0,0,0,0.011,0.016,0.016,0.019,0.019,0.019
Individual Investor,Mukul_Agrawal,Paras_Defence_and_Space_Technologies_Ltd,,0,0,0,0,0.011,0.019,0,0.023,0.023,0.023
Individual Investor,Mukul_Agrawal,Tracxn_Technologies_Ltd,16.6,2000000,0.019,0.02,0.02,0.02,0.02,0,0,0,0
Individual Investor,Mukul_Agrawal,P_E_Analytics_Ltd,,0,0,0,0,0.025,0.025,0.025,0.025,0.025,0
Individual Investor,Mukul_Agrawal,Ethos_Ltd,163.1,640000,0.026,0.027,0.029,0.034,0.035,0.04,0.04,0,0
Individual Investor,Mukul_Agrawal,Sula_Vineyards_Ltd,108.1,2000000,0.024,0.024,0.024,0.024,0.019,0,0,0,0
Individual Investor,Mukul_Agrawal,Vasa_Denticity_Ltd,19.6,410000,0,0.026,0,0,0,0,0,0,0
Individual Investor,Mukul_Agrawal,Allcargo_Terminals_Ltd,,0,0,0.013,0,0,0,0,0,0,0
Individual Investor,Mukul_Agrawal,Nuvama_Wealth_Management_Ltd,206.6,500000,0.014,0,0,0,0,0,0,0,0
Individual Investor,Mukul_Mahavir_Prasad_Agrawal,Allcargo_Logistics_Ltd,22.4,3300000,0.013,0.013,0.013,0.013,0.013,0.013,0,0.013,0
Individual Investor,Mukul_Mahavir_Prasad_Agrawal,Ceat_Ltd,123.6,500000,0.012,0.012,0.012,0.012,0.012,0.012,0,0,0
Individual Investor,Mukul_Mahavir_Prasad_Agrawal,LT_Foods_Ltd,67.9,4000000,0.012,0.012,0.012,0.012,0.013,0.017,0.017,0.017,0.017
