Index,Segment,Investor,stock,Holding_value,Quantity,Dec-23,Sep-23,Jun-23,Mar-23,Dec-22,Sep-22,Jun-22,Mar-22,Dec-21,Sep-21
1262,Institutional Investors,ICICI_Group,MSP_Steel_and_Power_Ltd,15.60000038,6264321,0.016000001,0.016000001,0.016000001,0.016000001,0.016000001,0.016000001,0.016000001,0.016000001,0.016000001,0.016000001
1263,Institutional Investors,ICICI_Group,Muthoot_Finance_Ltd,2372.399902,17826512,0.044,0.041000001,0.039999999,0.033,0.044,0.025,0.018999999,0,0,0
1264,Institutional Investors,ICICI_Group,Natco_Pharma_Ltd,0,0,0,0.017000001,0.037999999,0.043000001,0,0.041000001,0.033,0.032000002,0.023,0.018999999
1265,Institutional Investors,ICICI_Group,National_Aluminium_Company_Ltd,0,0,0,0.035999998,0.039000001,0.037999999,0,0.025,0.021,0,0.022,0.035999998
1266,Institutional Investors,ICICI_Group,Navin_Fluorine_International_Ltd,275.2999878,918327,0.018999999,0,0,0,0.018999999,0,0,0,0,0
1267,Institutional Investors,ICICI_Group,NCC_Ltd,550.4000244,25605237,0.041000001,0.028999999,0.028999999,0.024,0.041000001,0.023,0.02,0.016000001,0.012,0
1268,Institutional Investors,ICICI_Group,NHPC_Ltd,2172.600098,262238394,0.026000001,0,0,0,0.026000001,0,0,0,0,0
1269,Institutional Investors,ICICI_Group,NTPC_Ltd,13442.40039,428102780,0.044,0.050000001,0.057,0.057,0.044,0.054000001,0.050000001,0.054000001,0.055,0.057999998
1270,Institutional Investors,ICICI_Group,Oberoi_Realty_Ltd,553.7000122,4053409,0.011,0.012,0,0,0.011,0,0,0,0,0
1271,Institutional Investors,ICICI_Group,Oil_India_Ltd,1037,18767943,0.017000001,0.02,0.015,0,0.017000001,0,0,0,0,0.017000001
1272,Institutional Investors,ICICI_Group,Oil_And_Natural_Gas_Corporation_Ltd,8608.400391,330139243,0.026000001,0.034000002,0.037,0.037999999,0.026000001,0.039999999,0.039999999,0.035,0.025,0.028999999
1273,Institutional Investors,ICICI_Group,Orient_Cement_Ltd,0,0,0,0.015,0.017999999,0.012,0,0,0,0,0,0
1274,Institutional Investors,ICICI_Group,RHI_Magnesita_India_Ltd,120.4000015,2179808,0.011,0.013,0.014,0,0.011,0,0,0,0,0
1275,Institutional Investors,ICICI_Group,Patel_Engineering_Ltd,0,0,0,0,0,0,0,0.015,0.015,0.016000001,0.016000001,0.016000001
1276,Institutional Investors,ICICI_Group,Persistent_Systems_Ltd,0,0,0,0.012,0,0,0,0,0.014,0,0.01,0.013
1277,Institutional Investors,ICICI_Group,Aditya_Birla_Fashion_and_Retail_Ltd,372.8999939,17984359,0.018999999,0.02,0.02,0.021,0.018999999,0.021,0.021,0.02,0.02,0.02
1278,Institutional Investors,ICICI_Group,Procter_and_Gamble_Hygiene_and_Healthcare_Ltd,655.4000244,397960,0.012,0.012,0.013,0,0.012,0,0,0,0,0
1279,Institutional Investors,ICICI_Group,PCBL_Ltd,0,0,0,0.025,0.029999999,0.028999999,0,0.017999999,0,0,0,0
1280,Institutional Investors,ICICI_Group,Phoenix_Mills_Ltd,569.9000244,2228299,0.013,0.014,0.017000001,0.017999999,0.013,0.02,0.024,0.028000001,0.030999999,0.037
1281,Institutional Investors,ICICI_Group,PI_Industries_Ltd,937.2000122,2541508,0.017000001,0.021,0.021,0.012,0.017000001,0.014,0.016000001,0.015,0.018999999,0.018999999
1282,Institutional Investors,ICICI_Group,Power_Grid_Corporation_of_India_Ltd,2594.699951,99548212,0.011,0.01,0,0,0.011,0,0,0,0,0
1283,Institutional Investors,ICICI_Group,PVR_INOX_Ltd,710.0999756,5522972,0.056000002,0.074000001,0.103,0.078000002,0.056000002,0.059999999,0.061999999,0.072999999,0.079999998,0.104999997
1284,Institutional Investors,ICICI_Group,Rajshree_Sugars_and_Chemicals_Ltd,4.900000095,841055,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1285,Institutional Investors,ICICI_Group,Shree_Rama_Newsprint_Ltd,3.400000095,2248313,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
1286,Institutional Investors,ICICI_Group,The_Ramco_Cements_Ltd,285.7999878,3566986,0.015,0.014,0,0,0.015,0,0,0,0,0
1287,Institutional Investors,ICICI_Group,Redington_Ltd,584.7000122,28819515,0.037,0.037,0.037,0.037,0.037,0.037999999,0.037999999,0.037999999,0.037999999,0.037999999
1288,Institutional Investors,ICICI_Group,Shree_Renuka_Sugars_Ltd,712.5,171675640,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
1289,Institutional Investors,ICICI_Group,Repco_Home_Finance_Ltd,0,0,0,0,0,0,0,0,0,0.014,0.015,0.018999999
1290,Institutional Investors,ICICI_Group,Sadbhav_Engineering_Ltd,0,0,0,0.013,0.014,0.014,0,0.014,0.014,0.014,0.014,0.014
1291,Institutional Investors,ICICI_Group,Sagar_Cements_Ltd,79.5,3632154,0.028000001,0.046,0.046,0,0.028000001,0,0,0,0,0
1292,Institutional Investors,ICICI_Group,Sanofi_India_Ltd,0,0,0,0,0,0.013,0,0.012,0.014,0.017000001,0.018999999,0.021
1293,Institutional Investors,ICICI_Group,State_Bank_of_India,7641.600098,104679690,0.012,0.013,0.014,0.015,0.012,0.014,0.015,0.014,0.013,0.012
1294,Institutional Investors,ICICI_Group,Shoppers_Stop_Ltd,0,0,0,0,0,0,0,0,0,0,0.01,0.021
1295,Institutional Investors,ICICI_Group,Sobha_Ltd,0,0,0,0.012,0.012,0.012,0,0,0,0.011,0,0
1296,Institutional Investors,ICICI_Group,Sonata_Software_Ltd,0,0,0,0,0,0,0,0,0,0,0,0.011
