sectors,Company_name
Construction_Real_Estate,Vascon_Engineer
Construction_Real_Estate,Suraj_Estate
Construction_Real_Estate,PVP_Ventures
Construction_Real_Estate,GeeCee_Ventures
Construction_Real_Estate,Vishnusurya
Construction_Real_Estate,Nila_Infra
Construction_Real_Estate,Chavda_Infra
Construction_Real_Estate,KBC_Global
Construction_Real_Estate,Sumit_Woods
Construction_Real_Estate,Poddar_Housing
Construction_Real_Estate,Country_Condos
Construction_Infrastructure,Rail_Vikas
Construction_Infrastructure,NCC
Construction_Infrastructure,G_R_Infra
Construction_Infrastructure,PNC_Infratech
Construction_Infrastructure,Man_Infra
Construction_Infrastructure,KNR_Construct
Construction_Infrastructure,ITD_Cementation
Construction_Infrastructure,Hind_Constr
Construction_Infrastructure,Sanghvi_Movers
Construction_Infrastructure,Ashoka_Buildcon
Construction_Infrastructure,J_Kumar_Infra
Construction_Infrastructure,Patel_Eng
Construction_Infrastructure,Ramky_Infra
Construction_Infrastructure,SEPC
Construction_Infrastructure,Man_Industries
Construction_Infrastructure,Rel_Ind_Infra
Construction_Infrastructure,GPT_Infra
Construction_Infrastructure,SPML_Infra
Construction_Infrastructure,MBL_Infra
Construction_Infrastructure,ILandFS_Engg
Construction_Infrastructure,Sadbhav_Engg
Construction_Infrastructure,RPP_Infra_Proj
Construction_Infrastructure,Tarmat
Construction_Infrastructure,RKEC_Projects
Construction_Infrastructure,Atlantaa
Construction_Infrastructure,Univastu_India
Construction_Infrastructure,Atal
Construction_Infrastructure,Akash_Infraproj
Construction_Infrastructure,Madhucon_Proj
Construction_Infrastructure,ARSS_Infra
Construction_Infrastructure,CMM_Infraprojec
Computer_Peripherals,Netweb
Computer_Peripherals,Control_Print
Computer_Peripherals,DLink_India
Computer_Peripherals,HCL_Info
Computer_Peripherals,TVS_Electronics
Computer_Peripherals,MROTEK
Computer_Peripherals,Cerebra_Int
Computer_Peripherals,Compuage_Info
Compressors_/_Pumps,Elgi_Equipments
Compressors_/_Pumps,Ingersoll_Rand
Compressors_/_Pumps,Dynamatic_Tech
Compressors_/_Pumps,Shakti_Pumps
Compressors_/_Pumps,Roto_Pumps
Compressors_/_Pumps,Latteys_Ind.
Compressors_/_Pumps,Bright_Solar
Commodity_Chemicals,Solar_Ind
Commodity_Chemicals,Deepak_Nitrite
Commodity_Chemicals,Himadri_Special
Commodity_Chemicals,Guj_Alkali
Commodity_Chemicals,NOCIL
Commodity_Chemicals,India_Glycols
Commodity_Chemicals,Styrenix
Commodity_Chemicals,Thirumalai_Chem
Commodity_Chemicals,Bhansali_Eng
Commodity_Chemicals,GOCL_Corp
Commodity_Chemicals,Sadhana_Nitro
Commodity_Chemicals,Premier_Explo
Commodity_Chemicals,DCW
Commodity_Chemicals,ANDHRSUGAR
Commodity_Chemicals,Ganesh_Benzo
Commodity_Chemicals,Dhunseri_Ventur
Commodity_Chemicals,ORIENTAL_AROMAT
Commodity_Chemicals,Bodal_Chemicals
Commodity_Chemicals,Amines_Plast
Commodity_Chemicals,Chemfab_Alkalis
Commodity_Chemicals,Sree_Rayalaseem
Commodity_Chemicals,Pondy_Oxides
Commodity_Chemicals,Tamilnadu_Petro
Commodity_Chemicals,Oriental_Carbon
Commodity_Chemicals,Khaitan_Chemica
Commodity_Chemicals,Diamines_Chem
Commodity_Chemicals,Indo_Borax
Commodity_Chemicals,Lords_Chloro
Commodity_Chemicals,Mangalam_Organ
Commodity_Chemicals,IVP
Commodity_Chemicals,Alkali_Metals
Coal,Coal_India
Coal,Guj_Mineral
Cigarettes/Tobacco,Godfrey_Phillip
Cigarettes/Tobacco,VST
Cigarettes/Tobacco,Golden_Tobacco
Chemicals,Archean_Chem
Chemicals,Vikas_Life
Chemicals,Kothari_Petro
Chemicals,Infinium
Chemicals,Par_Drugs
Chemicals,Vital_Chemtech
Chemicals,Auro_Impex
Chemicals,MCON_Rasayan
Chemicals,Ushanti_Colour
Ceramics/Marble/Granite/Sanitaryware,Kajaria_Ceramic
Ceramics/Marble/Granite/Sanitaryware,Cera_Sanitary
Ceramics/Marble/Granite/Sanitaryware,Somany_Ceramics
Ceramics/Marble/Granite/Sanitaryware,Pokarna
Ceramics/Marble/Granite/Sanitaryware,Global_Surfaces
Ceramics/Marble/Granite/Sanitaryware,Asian_Granito
Ceramics/Marble/Granite/Sanitaryware,Orient_Bell
Ceramics/Marble/Granite/Sanitaryware,Exxaro_Tiles
Ceramics/Marble/Granite/Sanitaryware,Murudeshwar_Cer
Ceramics/Marble/Granite/Sanitaryware,Aro_Granite
Ceramics/Marble/Granite/Sanitaryware,Lexus_Granito
Ceramics/Marble/Granite/Sanitaryware,Regency_Ceramic
Ceramics/Marble/Granite/Sanitaryware,Madhav_Marbles
